id,original_language,popularity,release_date,title,vote_average,vote_count
851644,ko,170.54,06-10-2022,20th Century Girl,8.7,290
238,en,86.518,14-03-1972,The Godfather,8.7,16988
278,en,84.681,23-09-1994,The Shawshank Redemption,8.7,22748
240,en,44.957,20-12-1974,The Godfather Part II,8.6,10293
667257,es,32.859,17-06-2021,Impossible Things,8.6,299
19404,hi,23.31,19-10-1995,Dilwale Dulhania Le Jayenge,8.6,3961
424,en,52.121,15-12-1993,Schindler's List,8.6,13486
620249,zh,18.207,27-08-2019,The Legend of Hei,8.6,215
372754,ja,11.288,20-02-2016,Dou kyu sei – Classmates,8.5,263
129,ja,64.948,20-07-2001,Spirited Away,8.5,13595
389,en,33.678,10-04-1957,12 Angry Men,8.5,6826
372058,ja,74.434,26-08-2016,Your Name.,8.5,9260
496243,ko,52.624,30-05-2019,Parasite,8.5,14779
497,en,64.084,10-12-1999,The Green Mile,8.5,14675
155,en,58.811,14-07-2008,The Dark Knight,8.5,28656
724089,en,14.833,31-07-2020,Gabriel's Inferno: Part II,8.5,1443
696374,en,11.73,29-05-2020,Gabriel's Inferno,8.5,2300
680,en,60.289,10-09-1994,Pulp Fiction,8.5,24122
429,it,46.676,23-12-1966,"The Good, the Bad and the Ugly",8.5,7003
553512,ko,14.026,15-11-2018,Burn the Stage: The Movie,8.5,372
13,en,58.175,23-06-1994,Forrest Gump,8.5,23667
122,en,65.369,01-12-2003,The Lord of the Rings: The Return of the King,8.5,20604
761053,en,40.582,19-11-2020,Gabriel's Inferno: Part III,8.5,994
769,en,35.327,12-09-1990,GoodFellas,8.5,10704
11216,it,18.587,17-11-1988,Cinema Paradiso,8.5,3531
637,it,32.212,20-12-1997,Life Is Beautiful,8.5,11483
346,ja,24.918,26-04-1954,Seven Samurai,8.5,2859
14537,ja,25.544,15-09-1962,Harakiri,8.4,701
12477,ja,0.6,16-04-1988,Grave of the Fireflies,8.4,4389
539,en,30.409,22-06-1960,Psycho,8.4,8599
311,en,27.399,23-05-1984,Once Upon a Time in America,8.4,4441
255709,ko,14.291,02-10-2013,Hope,8.4,459
550,en,83.565,15-10-1999,Fight Club,8.4,25248
510,en,25.869,19-11-1975,One Flew Over the Cuckoo's Nest,8.4,8984
704264,en,19.299,21-11-2019,Primal: Tales of Savagery,8.4,245
40096,pt,10.029,15-09-2000,A Dog's Will,8.4,931
598,pt,29.496,05-02-2002,City of God,8.4,6115
92321,ja,0.6,17-09-2011,Hotarubi no Mori e,8.4,862
324857,en,67.356,06-12-2018,Spider-Man: Into the Spider-Verse,8.4,12001
378064,ja,50.211,17-09-2016,A Silent Voice: The Movie,8.4,3185
4935,ja,58.43,09-09-2004,Howl's Moving Castle,8.4,7776
568300,ko,10.033,26-01-2019,BTS World Tour: Love Yourself in Seoul,8.4,384
1891,en,28.927,20-05-1980,The Empire Strikes Back,8.4,14784
120,en,80.185,18-12-2001,The Lord of the Rings: The Fellowship of the Ring,8.4,21850
18491,ja,36.259,19-07-1997,Neon Genesis Evangelion: The End of Evangelion,8.4,1183
157336,en,95.667,05-11-2014,Interstellar,8.4,29879
652837,ja,41.317,25-12-2020,"Josee, the Tiger and the Fish",8.4,284
283566,ja,53.237,08-03-2021,Evangelion: 3.0+1.0 Thrice Upon a Time,8.4,589
423,en,36.882,17-09-2002,The Pianist,8.4,7668
599,en,17.252,10-08-1950,Sunset Boulevard,8.4,2092
795607,zh,17.692,23-07-2021,Green Snake,8.4,216
244786,en,50.128,10-10-2014,Whiplash,8.4,12780
121,en,66.768,18-12-2002,The Lord of the Rings: The Two Towers,8.4,18981
73,en,29.717,01-07-1998,American History X,8.4,9999
3782,ja,15.4,09-10-1952,Ikiru,8.4,856
567,en,21.065,01-08-1954,Rear Window,8.4,5443
27205,en,58.274,15-07-2010,Inception,8.4,32679
807,en,43.639,22-09-1995,Se7en,8.4,17957
20334,en,13.892,12-01-1940,The Shop Around the Corner,8.4,560
914,en,21.459,15-10-1940,The Great Dictator,8.4,2761
644479,es,11.797,01-11-2019,Dedicated to my ex,8.4,474
632632,ja,31.369,22-08-2020,Given,8.3,333
128,ja,37.966,12-07-1997,Princess Mononoke,8.3,6655
361743,en,396.615,24-05-2022,Top Gun: Maverick,8.3,4882
901,en,15.793,01-02-1931,City Lights,8.3,1746
274,en,11.194,14-02-1991,The Silence of the Lambs,8.3,13946
12493,ja,15.468,01-03-1963,High and Low,8.3,647
533514,ja,48.804,18-09-2020,Violet Evergarden: The Movie,8.3,281
441130,en,21.704,26-10-2020,Wolfwalkers,8.3,863
101,en,42.09,14-09-1994,Léon: The Professional,8.3,12669
630566,en,17.85,09-10-2020,Clouds,8.3,888
3082,en,17.954,05-02-1936,Modern Times,8.3,3111
207,en,27.157,02-06-1989,Dead Poets Society,8.3,9562
635302,ja,242.27,16-10-2020,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,8.3,2803
25237,ru,22.398,09-07-1985,Come and See,8.3,1031
447362,en,43.744,27-11-2020,Life in a Year,8.3,1171
335,it,29.845,21-12-1968,Once Upon a Time in the West,8.3,3580
527641,en,52.206,14-03-2019,Five Feet Apart,8.3,4960
105,en,45.804,03-07-1985,Back to the Future,8.3,17210
762975,en,67.117,29-07-2022,Purple Hearts,8.3,1721
556574,en,18.156,03-07-2020,Hamilton,8.3,1046
29259,fr,13.276,18-03-1960,Le Trou,8.3,355
975,en,18.898,25-10-1957,Paths of Glory,8.3,2327
810693,ja,299.259,24-12-2021,Jujutsu Kaisen 0,8.3,678
10494,ja,29.777,25-07-1997,Perfect Blue,8.3,1865
618344,en,22.274,05-05-2020,Justice League Dark: Apokolips War,8.3,1242
572154,ja,33.231,15-06-2019,Rascal Does Not Dream of a Dreaming Girl,8.3,411
28,en,30.879,15-08-1979,Apocalypse Now,8.3,6854
518068,ko,57.529,01-08-2018,Along with the Gods: The Last 49 Days,8.3,423
537061,en,25.821,02-09-2019,Steven Universe: The Movie,8.3,698
637920,tr,28.073,10-10-2019,Miracle in Cell No. 7,8.3,4040
299534,en,91.204,24-04-2019,Avengers: Endgame,8.3,22170
16672,ja,17.076,15-02-1964,Woman in the Dunes,8.3,312
42269,it,8.394,21-12-1974,We All Loved Each Other So Much,8.3,442
670,ko,25.459,21-11-2003,Oldboy,8.3,7078
77338,fr,51.994,02-11-2011,The Intouchables,8.3,15189
265177,fr,16.048,19-09-2014,Mommy,8.3,2389
299536,en,178.853,25-04-2018,Avengers: Infinity War,8.3,25809
10376,it,15.486,28-10-1998,The Legend of 1900,8.3,1936
1585,en,31.619,20-12-1946,It's a Wonderful Life,8.3,3501
508965,en,44.456,08-11-2019,Klaus,8.3,3115
290098,ko,42.526,01-06-2016,The Handmaiden,8.3,2912
8587,en,111.742,23-06-1994,The Lion King,8.3,15950
522924,en,23.022,08-08-2019,The Art of Racing in the Rain,8.3,1134
18148,ja,13.96,03-11-1953,Tokyo Story,8.3,811
476292,ja,30.73,24-02-2018,Maquia: When the Promised Flower Blooms,8.3,496
797,sv,15.845,18-10-1966,Persona,8.3,1719
15804,zh,14.33,27-07-1991,A Brighter Summer Day,8.3,219
575813,zh,15.898,25-10-2019,Better Days,8.3,290
532067,ja,43.8,30-08-2019,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,8.3,420
592350,ja,81.933,20-12-2019,My Hero Academia: Heroes Rising,8.2,983
24188,it,7.922,05-12-1962,Il Sorpasso,8.2,599
490132,en,28.515,16-11-2018,Green Book,8.2,9571
791373,en,124.329,18-03-2021,Zack Snyder's Justice League,8.2,8358
110420,ja,30.437,21-07-2012,Wolf Children,8.2,1884
504253,ja,36.495,14-09-2018,I Want to Eat Your Pancreas,8.2,1118
755812,fr,85.483,25-09-2020,"Miraculous World: New York, United HeroeZ",8.2,946
313106,en,11.824,23-11-2013,Doctor Who: The Day of the Doctor,8.2,663
5156,it,15.666,24-11-1948,Bicycle Thieves,8.2,1959
823754,en,10.864,22-07-2021,Bo Burnham: Inside,8.2,294
284,en,20.905,21-06-1960,The Apartment,8.2,1825
31414,hu,9.924,08-02-1994,Satantango,8.2,207
354912,en,131.358,27-10-2017,Coco,8.2,16544
1398,ru,18.4,25-05-1979,Stalker,8.2,1675
185,en,38.781,19-12-1971,A Clockwork Orange,8.2,11120
37257,en,15.361,17-12-1957,Witness for the Prosecution,8.2,1069
694,en,36.493,23-05-1980,The Shining,8.2,15107
422,it,16.19,14-02-1963,8½,8.2,1887
10098,en,17.766,21-01-1921,The Kid,8.2,1687
490,sv,18.835,16-02-1957,The Seventh Seal,8.2,2467
610892,ja,30.148,06-09-2019,Violet Evergarden: Eternity and the Auto Memory Doll,8.2,274
664767,en,30.584,12-04-2020,Mortal Kombat Legends: Scorpion's Revenge,8.2,1152
16869,en,52.504,19-08-2009,Inglourious Basterds,8.2,19463
11,en,61.696,25-05-1977,Star Wars,8.2,17947
426,en,25.565,28-05-1958,Vertigo,8.2,4831
470044,en,20.871,19-10-2018,The Hate U Give,8.2,1846
98,en,41.938,04-05-2000,Gladiator,8.2,15797
1124,en,35.029,19-10-2006,The Prestige,8.2,13635
629,en,28.034,19-07-1995,The Usual Suspects,8.2,8968
857,en,45.138,24-07-1998,Saving Private Ryan,8.2,13656
26451,it,12.187,16-10-1970,Investigation of a Citizen Above Suspicion,8.2,628
2457,fr,9.391,15-03-1945,Children of Paradise,8.2,316
50014,en,41.651,09-08-2011,The Help,8.2,6820
603,en,64.865,30-03-1999,The Matrix,8.2,22407
11324,en,45.995,14-02-2010,Shutter Island,8.2,20800
77,en,27.481,11-10-2000,Memento,8.2,12794
531428,fr,23.759,17-06-2019,Portrait of a Lady on Fire,8.2,1927
398818,en,67.946,01-09-2017,Call Me by Your Name,8.2,10697
324786,en,121.207,07-10-2016,Hacksaw Ridge,8.2,11659
620683,pt,7.239,26-12-2019,My Mom is a Character 3,8.2,432
92060,en,11.261,14-11-1983,Michael Jackson's Thriller,8.2,511
399106,en,13.072,16-06-2016,Piper,8.2,1420
526702,en,13.479,27-11-2020,Black Beauty,8.2,281
297610,en,4.612,23-10-2012,Abraham Lincoln Vampire Hunter: The Great Calamity,8.2,204
508442,en,78.388,25-12-2020,Soul,8.2,8604
475557,en,70.614,01-10-2019,Joker,8.2,21631
20914,it,6.225,24-10-1975,My Friends,8.2,604
103,en,38.3,09-02-1976,Taxi Driver,8.2,10024
19,de,18.313,06-02-1927,Metropolis,8.2,2193
517814,ar,17.837,20-09-2018,Capernaum,8.2,1363
406997,en,32.551,13-11-2017,Wonder,8.2,7088
133919,sv,7.707,15-09-1974,Scenes from a Marriage,8.2,267
872,en,15.299,09-04-1952,Singin' in the Rain,8.2,2577
663558,zh,36.306,06-02-2021,New Gods: Nezha Reborn,8.2,308
289,en,24.711,26-11-1942,Casablanca,8.2,4478
20532,ja,15.301,31-03-1954,Sansho the Bailiff,8.2,284
111,en,58.916,09-12-1983,Scarface,8.2,9800
1422,en,29.441,04-10-2006,The Departed,8.2,12918
705,en,15.516,06-10-1950,All About Eve,8.2,1267
654299,es,13.264,24-12-2019,Out of the Clear Blue Sky,8.2,301
55823,it,7.938,28-10-1959,The Great War,8.2,300
640344,it,6.195,17-01-2020,Me Against You: Mr. S's Vendetta,8.2,453
606856,en,33.646,20-12-2019,Togo,8.2,1646
68718,en,41.487,25-12-2012,Django Unchained,8.2,23301
439,it,13.042,05-02-1960,La Dolce Vita,8.2,1572
831827,en,34.154,24-11-2021,Far from the Tree,8.2,305
600354,en,20.542,23-12-2020,The Father,8.1,2356
600,en,28.598,26-06-1987,Full Metal Jacket,8.1,8937
11878,ja,16.499,25-04-1961,Yojimbo,8.1,1130
100,en,11.179,28-08-1998,"Lock, Stock and Two Smoking Barrels",8.1,5689
666,pt,13.375,20-11-1998,Central Station,8.1,704
548,ja,18.354,26-08-1950,Rashomon,8.1,1757
996,en,12.747,14-06-1944,Double Indemnity,8.1,1449
489,en,34.842,05-12-1997,Good Will Hunting,8.1,10115
500,en,34.377,02-09-1992,Reservoir Dogs,8.1,12403
935,en,21.837,29-01-1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.1,4721
992,en,12.971,17-04-1924,Sherlock Jr.,8.1,731
348,en,45.123,25-05-1979,Alien,8.1,12246
614,sv,12.214,26-12-1957,Wild Strawberries,8.1,1340
472454,tr,11.229,27-10-2017,Ayla: The Daughter of War,8.1,287
24382,it,6.986,26-07-1958,Big Deal on Madonna Street,8.1,587
895,ru,16.33,16-12-1966,Andrei Rublev,8.1,617
347688,en,14.203,10-07-2015,Scooby-Doo! and Kiss: Rock and Roll Mystery,8.1,244
239,en,24.472,19-03-1959,Some Like It Hot,8.1,2885
37165,en,43.715,04-06-1998,The Truman Show,8.1,15476
411088,es,31.439,06-01-2017,The Invisible Guest,8.1,3916
17663,en,16.746,01-12-1985,Anne of Green Gables,8.1,207
400608,en,9.038,03-06-2016,Bo Burnham: Make Happy,8.1,306
397567,ko,66.536,14-12-2017,Along with the Gods: The Two Worlds,8.1,730
615457,en,80.792,18-03-2021,Nobody,8.1,5249
545611,en,83.572,24-03-2022,Everything Everywhere All at Once,8.1,2307
149871,ja,19.177,23-11-2013,The Tale of The Princess Kaguya,8.1,1423
12445,en,142.401,07-07-2011,Harry Potter and the Deathly Hallows: Part 2,8.1,17959
337404,en,138.413,26-05-2021,Cruella,8.1,7700
38288,it,4.782,01-01-1996,I corti,8.1,330
655,en,16.946,23-08-1984,"Paris, Texas",8.1,1368
529531,en,5.991,19-06-2018,Hannah Gadsby: Nanette,8.1,236
785534,tr,13.762,12-03-2021,Paper Lives,8.1,304
832,de,15.594,11-05-1931,M,8.1,1718
81481,ko,21.505,22-09-2011,Silenced,8.1,440
638507,en,41.622,25-10-2019,How to Train Your Dragon: Homecoming,8.1,741
843,cn,22.937,29-09-2000,In the Mood for Love,8.1,2039
38,en,41.533,19-03-2004,Eternal Sunshine of the Spotless Mind,8.1,12807
652722,es,30.593,06-12-2019,In the Arms of an Assassin,8.1,303
103663,da,20.248,25-10-2012,The Hunt,8.1,3324
7345,en,18.698,26-12-2007,There Will Be Blood,8.1,5417
55960,it,6.442,23-08-1956,"Toto, Peppino, and the Hussy",8.1,290
359940,en,21.068,01-12-2017,"Three Billboards Outside Ebbing, Missouri",8.1,8850
4348,en,39.375,16-09-2005,Pride & Prejudice,8.1,6836
20941,es,19.495,28-01-2005,Innocent Voices,8.1,367
3780,ja,11.083,03-04-1965,Red Beard,8.1,259
334543,en,23.689,24-11-2016,Lion,8.1,5884
46738,fr,17.465,04-09-2010,Incendies,8.1,2053
147,fr,15.275,03-06-1959,The 400 Blows,8.1,1757
780,fr,13.559,21-04-1928,The Passion of Joan of Arc,8.1,722
9702,en,56.153,05-02-1993,Bound by Honor,8.1,989
42229,it,10.967,11-08-1977,A Special Day,8.1,547
406,fr,16.438,31-05-1995,La Haine,8.1,3227
280,en,59.938,03-07-1991,Terminator 2: Judgment Day,8.1,10848
9764,ru,12.25,02-08-1975,Dersu Uzala,8.1,393
62,en,35.491,02-04-1968,2001: A Space Odyssey,8.1,9769
387,de,20.113,17-09-1981,Das Boot,8.1,1782
437068,ko,23.119,02-08-2017,A Taxi Driver,8.1,721
11659,it,10.01,22-06-2003,The Best of Youth,8.1,445
8422,it,14.056,06-10-1960,Rocco and His Brothers,8.1,451
1955,en,13.797,09-10-1980,The Elephant Man,8.1,2838
21634,en,14.174,24-01-2009,Prayers for Bobby,8.1,489
515001,en,44.12,18-10-2019,Jojo Rabbit,8.1,7941
146233,en,32.442,18-09-2013,Prisoners,8.1,9773
37793,en,7.267,04-09-1997,Ghosts,8.1,201
8392,ja,44.613,16-04-1988,My Neighbor Totoro,8.1,6499
449176,en,24.571,16-02-2018,"Love, Simon",8.1,5518
10681,en,56.449,22-06-2008,WALL·E,8.1,16379
11645,ja,15.012,01-06-1985,Ran,8.1,1206
5801,bn,9.593,26-08-1955,Pather Panchali,8.1,297
381284,en,60.614,10-12-2016,Hidden Figures,8.1,8238
7347,pt,23.63,12-10-2007,Elite Squad,8.1,1885
744114,en,66.35,21-10-2022,My Policeman,8.1,321
11423,ko,25.22,02-05-2003,Memories of Murder,8.1,2951
120467,en,33.825,26-02-2014,The Grand Budapest Hotel,8.1,12825
550776,en,18.006,30-09-2018,Believe Me: The Abduction of Lisa McVey,8.1,453
458220,en,19.06,29-01-2021,Palmer,8.1,926
339877,en,16.64,22-06-2017,Loving Vincent,8.1,2160
19542,en,13.793,06-09-1948,The Red Shoes,8.1,486
538362,it,11.217,12-09-2018,On My Skin,8.1,1757
19426,it,12.975,03-10-1957,Nights of Cabiria,8.1,604
893941,es,11.968,14-10-2021,Misfit,8.1,202
678580,es,16.273,15-07-2021,El mesero,8.1,327
821,en,15.218,18-12-1961,Judgment at Nuremberg,8.1,603
400928,en,35.425,12-04-2017,Gifted,8.1,4576
1396,ru,14.813,07-03-1975,Mirror,8.1,728
574074,en,10.619,18-01-2019,Kitbull,8,283
264644,en,15.607,16-10-2015,Room,8,8257
610461,es,7.886,14-02-2020,"Veinteañera, Divorciada y Fantástica",8,366
115929,nl,8.203,15-02-2012,Cool Kids Don't Cry,8,233
582,de,15.439,15-03-2006,The Lives of Others,8,3075
310569,pt,11.052,04-06-2015,The Second Mother,8,628
282848,en,11.102,25-12-2013,Doctor Who: The Time of the Doctor,8,257
28978,en,9.808,06-01-1928,The Circus,8,619
455661,en,6.656,01-06-2017,In a Heartbeat,8,928
429210,pt,7.729,24-08-2017,Bingo: The King of the Mornings,8,320
11104,cn,28.999,14-07-1994,Chungking Express,8,1316
938,it,19.517,18-12-1965,For a Few Dollars More,8,3275
204,fr,19.075,22-04-1953,The Wages of Fear,8,697
482321,en,71.389,14-10-2021,Ron's Gone Wrong,8,1469
426618,en,11.865,14-09-2018,Where Hands Touch,8,457
106646,en,81.478,25-12-2013,The Wolf of Wall Street,8,20674
20530,ja,11.259,13-09-1949,Late Spring,8,299
641,en,11.553,06-10-2000,Requiem for a Dream,8,8483
279,en,22.878,19-09-1984,Amadeus,8,3519
14,en,26.551,15-09-1999,American Beauty,8,10640
568160,ja,46.776,19-06-2019,Weathering with You,8,1648
550205,en,57.867,15-01-2021,Wish Dragon,8,1008
26022,hi,17.931,10-02-2010,My Name Is Khan,8,1080
962,en,17.859,12-07-1925,The Gold Rush,8,1270
1091,en,33.273,25-06-1982,The Thing,8,5674
9277,en,21.535,25-12-1973,The Sting,8,2112
595,en,18.009,20-12-1962,To Kill a Mockingbird,8,2171
285700,ru,6.664,09-08-2014,The Fool,8,211
15,en,21.874,17-04-1941,Citizen Kane,8,4644
110416,en,14.98,06-09-2014,Song of the Sea,8,1178
634649,en,412.751,15-12-2021,Spider-Man: No Way Home,8,15954
522518,en,26.963,03-05-2019,A Dog's Journey,8,1178
315465,ja,26.854,11-07-2015,The Boy and the Beast,8,1260
20803,ru,7.916,17-09-1973,Ivan Vasilyevich Changes His Profession,8,266
521,en,18.851,29-05-1954,Dial M for Murder,8,2112
673,en,163.432,31-05-2004,Harry Potter and the Prisoner of Azkaban,8,18658
14696,ja,11.639,26-03-1953,Ugetsu,8,438
522402,en,52.61,04-11-2021,Finch,8,2665
3090,en,15.45,15-01-1948,The Treasure of the Sierra Madre,8,942
12761,sv,11.836,08-10-1978,Autumn Sonata,8,446
11778,en,20.415,09-03-1978,The Deer Hunter,8,3110
961,en,12.781,25-12-1926,The General,8,952
28422,ja,10.42,31-01-2009,Love Exposure,8,347
378108,ja,23.896,12-11-2016,In This Corner of the World,8,471
58007,it,7.625,17-04-1954,Poverty and Nobility,8,248
205596,en,51.188,14-11-2014,The Imitation Game,8,15146
776503,en,38.673,11-08-2021,CODA,8,1598
424694,en,37.994,24-10-2018,Bohemian Rhapsody,8,15211
800,es,11.252,09-12-1950,The Young and the Damned,8,382
843906,en,47.811,14-09-2021,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,8,332
524,en,24.517,22-11-1995,Casino,8,4776
307,it,8.821,08-10-1945,"Rome, Open City",8,707
554596,es,65.251,15-03-2019,No Manches Frida 2,8,735
359724,en,37.572,13-11-2019,Ford v Ferrari,8,6170
45752,en,19.962,14-09-2010,Scooby-Doo! Camp Scare,8,232
28178,en,37.382,08-06-2009,Hachi: A Dog's Tale,8,5867
12104,en,16.3,14-07-1982,Pink Floyd: The Wall,8,1238
488623,ko,22.483,29-11-2017,Forgotten,8,733
140420,en,9.671,02-11-2012,Paperman,8,1537
438695,en,165.326,01-12-2021,Sing 2,8,3294
23282,en,5.52,29-08-1920,One Week,8,203
13223,en,25.442,09-12-2008,Gran Torino,8,9389
3175,en,15.616,26-11-1975,Barry Lyndon,8,2327
1059,ja,11.792,28-12-1958,The Hidden Fortress,8,471
2517,ja,24.372,07-08-2004,Nobody Knows,8,380
11658,ko,19.564,05-02-2004,Tae Guk Gi: The Brotherhood of War,8,559
38360,ru,9.79,12-10-1957,The Cranes Are Flying,8,265
770,en,27.615,15-12-1939,Gone with the Wind,8,3418
25376,es,17.113,13-08-2009,The Secret in Their Eyes,8,2111
213,en,20.858,08-07-1959,North by Northwest,8,3405
237791,pt,11.656,28-03-2014,The Way He Looks,8,848
94047,ko,16.279,21-12-2011,My Way,8,303
698948,en,44.461,18-07-2022,Thirteen Lives,8,804
7508,hi,12.834,21-12-2007,Like Stars on Earth,8,905
18438,ko,12.822,14-05-2009,Castaway on the Moon,8,556
654,en,15.919,22-06-1954,On the Waterfront,8,1260
